ジャイロセンサ角速度, 走行距離, フロア検知ステータス　
-9,476.070251,0
-4,477.130554,0
-3,478.544281,0
-8,479.958008,0
-10,480.664856,0
-4,482.078583,0
2,483.138855,0
-5,484.199158,0
-13,485.612885,0
-7,487.026611,0
-4,488.086914,0
-2,489.500641,0
-11,490.207489,0
-10,491.621216,0
-6,492.681519,0
-9,494.095245,0
-3,495.155518,0
-15,496.215820,0
-5,497.276123,0
-6,498.689850,0
-13,500.103577,0
-8,500.810425,0
-13,502.224152,0
-11,503.284424,0
-9,504.698151,0
-7,505.758423,0
-19,507.172150,0
-13,507.878998,0
-5,509.292725,0
-17,510.353027,0
-11,511.413330,0
-10,512.827026,0
-13,513.533875,0
-10,514.594177,0
-9,516.007874,0
-4,517.068176,0
-5,518.128479,0
-6,519.188782,0
4,520.249084,0
4,521.309387,0
8,522.723083,0
1,523.429932,0
-3,524.843628,0
-4,525.550476,0
-1,526.964172,0
-6,527.671021,0
-14,529.084717,0
-15,529.791565,0
-12,531.205261,0
-17,532.265564,0
-12,533.325867,0
-7,534.386169,0
-12,535.446472,0
-11,536.506775,0
-7,537.567078,0
-5,538.980774,0
-4,539.687622,0
-6,540.747925,0
-9,541.808228,0
-2,542.868530,0
-2,543.575378,0
-3,544.989075,0
-5,545.695923,0
-4,546.756226,0
-5,547.816528,0
-13,549.230225,0
-6,549.937073,0
-6,550.643921,0
-11,552.057617,0
-11,553.117920,0
-6,554.178223,0
-4,554.885071,0
-6,556.298767,0
-8,557.005615,0
-7,557.712463,0
-6,559.126160,0
-8,559.833008,0
-10,560.539856,0
-8,561.953552,0
-4,563.013855,0
-6,563.720703,0
-11,564.781006,0
-3,565.841309,0
0,566.548157,0
-5,567.608459,0
-6,568.668762,0
-6,569.375610,0
-6,570.435913,0
-4,571.496216,0
-5,572.203064,0
-4,573.263367,0
-7,574.323669,0
-10,575.030518,0
-10,575.737366,0
-9,576.797668,0
-9,577.504517,0
-11,578.564819,0
-8,579.271667,0
-9,579.978516,0
-7,581.038818,0
3,582.099121,0
5,582.805969,0
2,583.512817,0
5,584.219666,0
4,585.279968,0
-1,586.340271,0
4,587.047119,0
-2,587.753967,0
-3,588.460815,0
-5,589.521118,0
-7,590.227966,0
-8,591.288269,0
-2,591.995117,0
0,592.701965,0
-1,593.408813,0
3,594.115662,0
5,594.822510,0
3,595.882812,0
2,596.589661,0
7,597.296509,0
4,598.356812,0
-5,599.063660,0
-6,599.770508,0
-4,600.477356,0
-6,601.184204,0
-6,601.891052,0
-7,602.951355,0
-4,603.658203,0
-2,604.365051,0
2,605.425354,0
1,605.778809,0
6,606.839111,0
5,607.545959,0
5,608.252808,0
10,608.959656,0
3,609.666504,0
2,610.373352,0
-2,611.433655,0
0,611.787109,0
-6,612.847412,0
-13,613.907715,0
-8,614.261169,0
-9,615.321472,0
-9,616.028320,0
-11,616.735168,0
-3,617.442017,0
-6,618.148865,0
-3,618.855713,0
-6,619.562561,0
4,620.269409,0
5,621.329712,0
0,622.036560,0
0,622.743408,0
-2,623.450256,0
-1,624.157104,0
-8,625.217407,0
-5,625.924255,0
-5,626.631104,0
-10,627.337952,0
-7,628.044800,0
-10,628.751648,0
-8,629.458496,0
-12,630.165344,0
-6,630.872192,0
-4,631.932495,0
-2,632.285950,0
-6,633.346252,0
-3,633.699707,0
5,634.760010,0
3,635.113464,0
-3,636.173767,0
-3,636.880615,0
-2,637.587463,0
-5,638.647766,0
-8,639.001221,0
-6,640.061523,0
-7,640.414978,0
-6,641.475281,0
-11,642.182129,0
-4,642.888977,0
-6,643.595825,0
-4,644.302673,0
-6,645.009521,0
-3,645.716370,0
-1,646.423218,0
-4,647.130066,0
2,647.836914,0
-4,648.543762,0
-4,649.250610,0
-7,650.310913,0
-9,650.664368,0
-1,651.724670,0
-11,652.078125,0
-8,653.138428,0
-4,653.491882,0
-5,654.552185,0
-4,654.905640,0
-3,655.965942,0
-2,656.319397,0
1,657.379700,0
2,658.086548,0
1,658.793396,0
2,659.500244,0
4,660.207092,0
-1,660.913940,0
-6,661.620789,0
-5,662.327637,0
-8,663.034485,0
-15,663.741333,0
-16,664.448181,0
-12,665.155029,0
-13,665.861877,0
-12,666.568726,0
-11,667.275574,0
-6,667.982422,0
-1,668.689270,0
-6,669.396118,0
-1,670.102966,0
2,670.809814,0
3,671.516663,0
2,671.870117,0
1,672.930420,0
0,673.283875,0
-1,674.344177,0
-5,674.697632,0
-8,675.757935,0
-9,676.111389,0
-8,677.171692,0
-10,677.525146,0
-11,678.585449,0
-11,678.938904,0
-8,679.999207,0
-11,680.352661,0
-11,681.059509,0
-4,681.766357,0
-4,682.473206,0
-4,682.826660,0
1,683.886963,0
2,684.240417,0
4,684.947266,0
-5,685.654114,0
-5,686.007568,0
-4,687.067871,0
-7,687.421326,0
-11,688.481628,0
-6,688.835083,0
-8,689.541931,0
-8,690.248779,0
-4,690.955627,0
-6,691.309082,0
5,692.369385,0
3,692.722839,0
3,693.076294,0
7,694.136597,0
4,694.490051,0
-2,695.196899,0
-5,695.903748,0
-6,696.610596,0
-7,697.317444,0
-4,698.024292,0
-7,698.377747,0
-6,699.084595,0
-3,699.791443,0
-2,700.144897,0
-1,700.851746,0
-2,701.558594,0
-5,702.265442,0
-5,702.972290,0
1,703.325745,0
-1,704.386047,0
-4,704.739502,0
0,705.092957,0
2,706.153259,0
-4,706.506714,0
-6,707.213562,0
-4,707.567017,0
-5,708.627319,0
-1,708.980774,0
-3,709.687622,0
1,710.394470,0
0,711.101318,0
0,711.808167,0
0,711.808167,0
-5,713.221863,0
-7,713.221863,0
-6,714.282166,0
-5,714.635620,0
-8,715.342468,0
-8,716.049316,0
-6,716.402771,0
-2,717.463074,0
-4,717.816528,0
-5,718.523376,0
-1,719.230225,0
-1,719.937073,0
1,720.643921,0
-4,720.997375,0
-4,721.704224,0
2,722.411072,0
-1,722.764526,0
-1,723.471375,0
-8,724.178223,0
-5,724.885071,0
-4,725.238525,0
-5,726.298828,0
-4,726.652283,0
-4,727.359131,0
-7,728.065979,0
8,728.772827,0
16,729.479675,0
22,729.833130,0
33,730.893433,0
30,730.893433,0
31,731.600281,0
18,732.307129,0
4,732.660583,0
-1,733.720886,0
-4,734.074341,0
-16,734.781189,0
-25,735.134644,0
-36,735.841492,0
-33,736.194946,0
-35,736.901794,0
-42,737.608643,0
-45,737.608643,0
-39,738.315491,0
-30,738.315491,0
-31,738.315491,0
-14,739.022339,0
-4,739.022339,0
3,739.022339,0
9,739.022339,0
22,738.668884,0
28,738.668884,0
30,738.668884,0
31,738.668884,0
21,738.668884,0
17,738.315430,0
17,738.315430,0
12,738.315430,0
2,738.315430,0
-9,737.961975,0
-16,737.961975,0
-21,737.961975,0
-24,737.961975,0
-25,737.961975,0
-23,737.608521,0
-20,737.255066,0
-15,736.901611,0
-8,736.548157,0
-5,736.548157,0
-2,736.194702,0
5,735.487854,0
11,735.134399,0
13,734.427551,0
17,733.720703,0
21,733.367249,0
26,732.306946,0
30,731.953491,0
22,730.893188,0
28,730.539734,0
27,729.479431,0
13,728.772583,0
10,728.065735,0
-4,727.005432,0
-25,726.298584,0
-18,725.238281,0
-35,724.177979,0
-39,723.117676,0
