反射光センサー, ジャイロセンサ角速度,P,D,走行距離　
8,100,-7,11,681.412720
8,100,-15,4,682.119568
8,100,-10,9,683.533264
9,100,-14,5,684.240112
9,100,-6,-1,685.300415
9,100,-13,4,686.714111
9,100,-15,2,687.774414
9,100,-25,-7,688.481262
9,100,-24,-7,689.541565
9,100,-21,-3,690.601868
8,100,-21,-3,692.015564
8,100,-31,0,693.075867
8,100,-18,1,694.136169
9,100,-18,1,695.196472
9,100,-6,-1,696.256775
9,100,-14,3,697.317078
8,100,-20,-3,698.377380
9,100,-21,10,699.437683
9,100,0,5,700.851379
9,100,-12,5,701.911682
9,100,-23,-5,702.618530
8,100,-18,-1,704.032227
9,100,-34,-2,704.739075
9,100,-11,-5,706.152771
9,100,-21,-2,707.213074
9,100,-22,-4,708.626770
9,100,-15,4,709.687073
9,100,-16,3,710.747375
9,100,-12,7,711.807678
9,100,-17,1,712.867981
10,100,-19,0,713.928284
10,100,-12,-7,714.988586
10,100,-12,5,716.048889
10,100,-13,4,717.109192
11,100,-16,2,718.522888
11,100,-14,-10,719.583191
11,100,-14,2,720.996887
11,100,-22,-6,721.703735
11,100,-17,1,723.117432
12,100,-24,-6,724.177734
12,100,-19,-16,725.238037
12,100,-23,-7,726.298340
12,100,-24,-7,727.358643
13,100,-22,-6,728.418945
14,100,-9,-7,729.832642
14,100,-13,-11,730.892944
14,100,-15,-1,731.953247
14,100,-16,-2,733.013550
14,100,-18,-5,734.073853
14,100,-13,1,735.134155
15,100,-13,1,736.194458
17,100,-1,0,737.608154
17,100,5,-8,738.668457
17,100,-13,-2,739.728760
17,100,-7,4,741.142456
17,100,-14,-3,741.849304
17,100,-12,-1,743.263000
17,100,-24,-13,744.323303
17,100,-21,-10,745.383606
19,100,-21,-10,746.443909
21,100,-9,-23,747.504211
21,100,-1,-17,748.917908
21,100,-20,-12,749.978210
22,100,-8,-1,751.038513
22,100,-6,-11,752.098816
22,100,-15,-9,753.159119
22,100,-10,-4,754.219421
22,100,-9,-3,755.633118
22,100,-8,-1,756.693420
22,100,0,6,758.107117
25,100,-17,-11,758.813965
26,100,7,-25,760.227661
26,100,-7,-4,761.287964
26,100,-13,-9,762.348267
