反射光センサー, ジャイロ角度, ジャイロセンサ角速度,ターン,P,モータ角位置
0,0,29,0,0,1079
0,0,30,0,0,1082
0,0,35,0,0,1086
0,0,26,0,0,1089
0,0,27,0,0,1092
0,0,24,0,0,1096
0,0,19,0,0,1099
0,0,27,0,0,1103
0,0,20,0,0,1106
0,0,27,0,0,1109
0,0,19,0,0,1112
0,0,19,0,0,1116
0,0,23,0,0,1119
0,0,12,0,0,1123
0,0,19,0,0,1126
0,0,14,0,0,1130
0,0,15,0,0,1133
0,0,13,0,0,1136
0,0,18,0,0,1140
0,0,11,0,0,1143
0,0,18,0,0,1146
0,0,13,0,0,1150
0,0,17,0,0,1153
0,0,9,0,0,1156
0,0,22,0,0,1160
0,0,5,0,0,1163
0,0,13,0,0,1166
0,0,16,0,0,1170
0,0,6,0,0,1173
0,0,15,0,0,1176
0,0,0,0,0,1180
0,0,13,0,0,1183
0,0,-4,0,0,1186
0,0,12,0,0,1190
0,0,8,0,0,1193
0,0,-8,0,0,1196
0,0,2,0,0,1200
0,0,-10,0,0,1203
0,0,0,0,0,1206
0,0,-14,0,0,1210
0,0,4,0,0,1213
0,0,-8,0,0,1217
0,0,-14,0,0,1220
0,0,-10,0,0,1224
0,0,-17,0,0,1227
0,0,-5,0,0,1230
0,0,-17,0,0,1233
0,0,-9,0,0,1236
0,0,-18,0,0,1240
0,0,-15,0,0,1243
0,0,-11,0,0,1247
0,0,-24,0,0,1250
0,0,-17,0,0,1254
0,0,-30,0,0,1257
0,0,-22,0,0,1260
0,0,-31,0,0,1263
0,0,-33,0,0,1267
0,0,-28,0,0,1270
0,0,-37,0,0,1274
0,0,-38,0,0,1277
0,0,-36,0,0,1280
0,0,-35,0,0,1284
0,0,-50,0,0,1287
0,0,-45,0,0,1290
0,0,-36,0,0,1294
0,0,-41,0,0,1297
0,0,-51,0,0,1300
0,0,-40,0,0,1304
0,0,-43,0,0,1307
0,0,-53,0,0,1310
0,0,-53,0,0,1314
0,0,-46,0,0,1317
0,0,-46,0,0,1320
0,0,-59,0,0,1324
0,0,-37,0,0,1327
0,0,-51,0,0,1330
0,0,-46,0,0,1334
0,0,-45,0,0,1337
0,0,-37,0,0,1340
0,0,-35,0,0,1344
0,0,-38,0,0,1347
0,0,-22,0,0,1350
0,0,-25,0,0,1354
0,0,-16,0,0,1357
0,0,-9,0,0,1360
0,0,9,0,0,1364
0,0,11,0,0,1367
0,0,20,0,0,1370
0,0,26,0,0,1374
0,0,37,0,0,1377
0,0,37,0,0,1380
0,0,43,0,0,1384
0,0,58,0,0,1387
0,0,57,0,0,1390
0,0,68,0,0,1394
0,0,64,0,0,1397
0,0,76,0,0,1400
0,0,72,0,0,1404
0,0,81,0,0,1407
0,0,89,0,0,1410
0,0,88,0,0,1414
0,0,92,0,0,1417
0,0,95,0,0,1420
0,0,91,0,0,1424
0,0,97,0,0,1427
0,0,105,0,0,1430
0,0,96,0,0,1434
0,0,101,0,0,1437
0,0,82,0,0,1440
0,0,95,0,0,1444
0,0,76,0,0,1447
0,0,85,0,0,1450
0,0,76,0,0,1454
0,0,66,0,0,1457
0,0,71,0,0,1461
0,0,44,0,0,1464
0,0,56,0,0,1468
0,0,31,0,0,1471
0,0,32,0,0,1474
0,0,29,0,0,1478
0,0,11,0,0,1481
0,0,12,0,0,1484
0,0,-3,0,0,1488
0,0,-8,0,0,1491
0,0,-17,0,0,1494
0,0,-24,0,0,1498
0,0,-16,0,0,1501
0,0,-43,0,0,1504
0,0,-35,0,0,1508
0,0,-40,0,0,1511
0,0,-44,0,0,1514
0,0,-43,0,0,1518
0,0,-40,0,0,1521
0,0,-40,0,0,1524
0,0,-42,0,0,1528
0,0,-28,0,0,1531
0,0,-42,0,0,1535
0,0,-24,0,0,1538
0,0,-27,0,0,1541
0,0,-24,0,0,1545
0,0,-22,0,0,1548
0,0,-20,0,0,1551
0,0,-15,0,0,1555
0,0,-12,0,0,1558
0,0,6,0,0,1562
0,0,0,0,0,1565
0,0,2,0,0,1568
0,0,1,0,0,1571
0,0,19,0,0,1575
0,0,10,0,0,1578
0,0,23,0,0,1582
