反射光センサー, ジャイロセンサ角速度,P,D,走行距離　
45,3,13,0,57.608925
45,-3,13,0,58.315784
44,-4,12,-10,58.315784
43,0,12,-10,59.376072
43,0,12,0,59.729500
43,-3,12,0,60.436359
42,5,11,-10,61.143219
42,8,11,0,61.850079
42,2,11,0,62.556938
43,3,12,10,63.263798
43,6,12,0,63.617226
42,3,11,-10,64.677513
42,-2,11,0,65.384369
42,1,11,0,66.444656
42,-1,11,0,67.151512
41,-11,10,-10,67.858368
41,-9,10,0,68.565224
41,-7,10,0,69.625511
41,-18,10,0,70.685799
41,-24,10,0,71.392654
41,-11,10,0,72.099510
41,-20,10,0,73.159798
41,-24,10,0,73.866653
41,-15,10,0,75.280373
41,-17,10,0,75.633804
41,-17,10,0,76.340660
41,-12,10,0,77.400948
39,-15,8,-20,78.461235
38,-17,8,-10,79.521523
38,-10,8,0,80.228378
38,-11,8,0,81.288666
37,-11,7,-10,81.995522
37,-9,7,0,83.055809
37,-5,7,0,84.116096
37,-6,7,0,84.822952
35,-10,5,-20,85.883240
34,-12,4,-10,86.590096
34,-4,4,0,87.650383
34,-6,4,0,88.710670
32,-13,3,-20,89.417526
33,-8,4,10,90.124382
33,-17,4,0,91.184669
33,-3,4,0,92.244957
31,-1,2,-20,92.951813
30,-13,1,-10,94.012100
29,-4,0,-10,94.718956
30,0,1,10,95.779243
30,1,1,0,96.486099
30,2,1,0,97.546387
30,2,1,0,98.253242
27,3,0,-30,99.313530
27,-2,0,0,100.020386
28,6,0,10,100.727242
26,7,-1,-20,101.787529
26,0,-1,0,102.494385
26,2,-1,0,103.201241
27,4,0,10,104.261528
25,5,-2,-20,105.321815
24,2,-3,-10,105.675247
24,-1,-3,0,107.088966
24,6,-3,0,107.795822
24,4,-3,0,108.502678
24,4,-3,0,109.562965
23,6,-4,-10,110.269821
22,14,-4,-10,111.330109
22,9,-4,0,112.390396
22,-2,-4,0,113.097252
22,8,-4,0,113.804108
22,15,-4,0,114.510963
22,4,-4,0,115.571251
21,3,-5,-10,116.631538
21,13,-5,0,117.338394
21,4,-5,0,118.398682
21,-8,-5,0,119.105537
21,8,-5,0,120.165825
20,8,-6,-10,120.872681
19,-4,-7,-10,121.579536
19,11,-7,0,122.639824
19,9,-7,0,123.700111
19,-4,-7,0,124.406967
18,8,-8,-10,125.467255
18,9,-8,0,126.880974
18,8,-8,0,127.587830
18,11,-8,0,128.294693
18,5,-8,0,129.708405
18,4,-8,0,130.415268
17,9,-8,-10,131.475555
17,3,-8,0,132.182419
17,2,-8,0,133.242706
16,0,-9,-10,134.302994
16,0,-9,0,135.363281
16,2,-9,0,136.070145
16,-4,-9,0,137.483856
