反射光センサー, ジャイロセンサ角速度,P,D,走行距離　,,,
0,20,-24,0,522.368652,,,
0,19,-24,0,524.135803,,,
0,20,-24,0,525.902954,,,
0,19,-24,0,528.02356,,,
0,17,-24,0,530.144165,,,
0,16,-24,0,531.911316,,,
0,16,-24,0,533.678467,,,
0,16,-24,0,535.799072,,,
0,11,-24,0,537.919678,,,
0,9,-24,0,539.686829,,,
0,9,-24,0,541.453979,,,
0,8,-24,0,543.574585,,,
0,6,-24,0,545.69519,,,
0,4,-24,0,547.462341,,,
0,5,-24,0,549.229492,,,
0,6,-24,0,551.350098,,,
0,8,-24,0,553.117249,,,
0,0,-24,0,555.237793,,,
0,3,-24,0,557.004944,,,
0,6,-24,0,559.125488,,,
0,4,-24,0,561.246094,,,
0,3,-24,0,563.013245,,,
0,7,-24,0,564.780396,,,
0,9,-24,0,566.901001,,,
0,9,-24,0,568.668152,,,
0,10,-24,0,570.435303,,,
0,5,-24,0,572.555908,,,
0,5,-24,0,574.676514,,,
0,9,-24,0,576.443665,,,
0,3,-24,0,578.564209,,,
0,6,-24,0,580.33136,,,
0,6,-24,0,582.451904,,,
0,3,-24,0,584.219055,,,
0,6,-24,0,585.986206,,,
0,3,-24,0,588.106812,,,
0,0,-24,0,589.873962,,,
0,5,-24,0,591.641113,,,
0,2,-24,0,593.761719,,,
0,-1,-24,0,595.882324,,,
0,4,-24,0,598.00293,,,
0,2,-24,0,599.770081,,,
0,7,-24,0,601.537231,,,
0,8,-24,0,603.657837,,,
0,7,-24,0,605.424988,,,
0,7,-24,0,607.192139,,,
0,10,-24,0,609.312744,,,
0,7,-24,0,611.079895,,,
0,8,-24,0,613.200439,,,
0,13,-24,0,615.321045,,,
0,12,-24,0,616.734741,,,
0,9,-24,0,618.855347,,,
0,11,-24,0,620.975952,,,
0,11,-24,0,622.389648,,,
0,9,-24,0,624.510254,,,
0,14,-24,0,626.630859,,,
0,12,-24,0,628.751465,,,
0,9,-24,0,630.518616,,,
0,8,-24,0,632.285767,,,
0,13,-24,0,634.052917,,,
0,16,-24,0,636.173462,,,
0,13,-24,0,637.940613,,,
0,12,-24,0,640.061157,,,
0,12,-24,0,642.181763,,,
0,13,-24,0,643.948914,,,
0,15,-24,0,646.069458,,,
0,12,-24,0,647.836609,,,
0,15,-24,0,649.60376,,,
0,16,-24,0,651.724365,,,
0,15,-24,0,653.491516,,,
0,17,-24,0,655.258667,,,
0,21,-24,0,657.379272,,,
0,16,-24,0,659.499878,,,
0,18,-24,0,661.267029,,,
0,19,-24,0,663.03418,,,
0,20,-24,0,665.154785,,,
0,20,-24,0,666.921936,,,
0,16,-24,0,668.689087,,,
0,16,-24,0,670.809692,,,
0,19,-24,0,672.576843,,,
0,16,-24,0,674.697388,,,
0,13,-24,0,676.817993,,,
0,17,-24,0,678.231689,,,
0,14,-24,0,680.352295,,,
0,17,-24,0,682.4729,,,
0,19,-24,0,683.886597,,,
0,13,-24,0,686.007202,,,
0,19,-24,0,688.127808,,,
0,20,-24,0,689.894958,,,
0,12,-24,0,692.015503,,,
0,22,-24,0,693.782654,,,
0,19,-24,0,695.549805,,,
0,15,-24,0,697.67041,,,
0,25,-24,0,699.437561,,,
0,19,-24,0,701.204712,,,
0,17,-24,0,703.325317,,,
0,26,-24,0,705.092468,,,
0,22,-24,0,706.859619,,,
0,17,-24,0,708.980225,,,
0,21,-24,0,711.10083,,,
0,18,-24,0,712.867981,,,
0,22,-24,0,714.988525,,,
0,23,-24,0,716.755676,,,
0,20,-24,0,718.522827,,,
0,22,-24,0,720.643433,,,
0,21,-24,0,722.410583,,,
0,20,-24,0,724.531128,,,
0,21,-24,0,726.298279,,,
0,22,-24,0,728.06543,,,
0,21,-24,0,730.186035,,,
0,24,-24,0,732.306641,,,
0,20,-24,0,734.073792,,,
0,26,-24,0,735.840942,,,
0,21,-24,0,737.961548,,,
0,21,-24,0,739.728699,,,
0,28,-24,0,741.49585,,,
0,25,-24,0,743.616455,,,
0,24,-24,0,745.383606,,,
0,24,-24,0,747.150757,,,
0,21,-24,0,749.271362,,,
0,22,-24,0,751.038513,,,
0,23,-24,0,752.805664,,,
0,19,-24,0,754.92627,,,
0,19,-24,0,756.69342,,,
0,18,-24,0,758.460571,,,
