反射光センサー, ジャイロセンサ角速度,P,D,走行距離　,,,
0,100,-148,-148,-481.723999,,,
0,100,-148,-148,-483.49115,,,
0,100,-148,-148,-485.965149,,,
0,100,-148,-148,-487.7323,,,
0,100,-148,-148,-489.499451,,,
0,100,-148,-148,-491.97345,,,
0,100,-148,-148,-493.740601,,,
0,100,-148,-148,-495.861176,,,
0,100,-148,-148,-497.98175,,,
0,100,-148,-148,-500.45575,,,
0,100,-148,-148,-502.2229,,,
0,100,-148,-148,-504.696899,,,
0,100,-148,-148,-506.46405,,,
0,100,-148,-148,-508.584625,,,
0,100,-148,-148,-510.351776,,,
0,100,-148,-148,-512.825806,,,
0,100,-148,-148,-514.592957,,,
0,100,-148,-148,-517.066956,,,
0,100,-148,-148,-518.834106,,,
0,100,-148,-148,-520.954712,,,
0,100,-148,-148,-523.075317,,,
0,100,-148,-148,-525.195923,,,
0,100,-148,-148,-527.316528,,,
0,100,-148,-148,-529.437134,,,
0,100,-148,-148,-531.557739,,,
0,100,-148,-148,-533.678345,,,
0,100,-148,-148,-535.79895,,,
0,100,-148,-148,-537.566101,,,
0,100,-148,-148,-540.0401,,,
0,100,-148,-148,-541.453796,,,
0,100,-148,-148,-543.927795,,,
0,100,-148,-148,-545.694946,,,
0,100,-148,-148,-548.168945,,,
0,100,-148,-148,-549.936096,,,
0,100,-148,-148,-552.410095,,,
0,100,-148,-148,-554.177246,,,
0,100,-148,-148,-556.651245,,,
0,100,-148,-148,-558.418396,,,
0,100,-148,-148,-560.53894,,,
0,100,-148,-148,-562.659546,,,
0,100,-148,-148,-564.426697,,,
0,100,-148,-148,-566.900696,,,
0,100,-148,-148,-568.667847,,,
0,100,-148,-148,-571.141846,,,
0,100,-148,-148,-572.908997,,,
0,100,-148,-148,-575.029541,,,
0,100,-148,-148,-577.150146,,,
0,100,-148,-148,-579.270752,,,
0,100,-148,-148,-581.391357,,,
0,100,-148,-148,-583.511963,,,
0,100,-148,-148,-585.632568,,,
0,100,-148,-148,-587.399719,,,
0,100,-148,-148,-589.873718,,,
0,100,-148,-148,-591.640869,,,
0,100,-148,-148,-593.40802,,,
0,100,-148,-148,-595.528564,,,
0,100,-148,-148,-597.64917,,,
0,100,-148,-148,-599.769775,,,
0,100,-148,-148,-601.536926,,,
0,100,-148,-148,-604.010925,,,
0,100,-148,-148,-605.778076,,,
0,100,-148,-148,-607.898682,,,
0,100,-148,-148,-610.019287,,,
0,100,-148,-148,-612.139893,,,
0,100,-148,-148,-614.260498,,,
0,100,-148,-148,-616.027649,,,
